protein	location	source(s)
AHSA1	Cytosol	HPA
METTL22	Nucleoli	HPA
SCARB1	Plasma membrane	GO
TSPYL6	Nucleoli	HPA
SYNM	Intermediate filaments	HPA;GO
CCDC188	Nucleoplasm	HPA
CDA	Nucleoplasm	HPA
GTF3C3	Nucleoli	HPA
TNFAIP3	Centrosome	HPA
MLX	Nuclear membrane	HPA
AASS	Nucleoplasm	HPA
ESD	Golgi apparatus	HPA
ZNF346	Nucleoli	GO
PLAU	Actin filaments	GO
ZNF223	Nucleoplasm	HPA
IRS1	Nucleoplasm	HPA
TUBA3D	Microtubules	HPA
DPM1	Endoplasmic reticulum	GO
BMERB1	Cytosol	HPA
YIPF4	Plasma membrane	HPA
ABTB3	Cytosol	HPA
RBM41	Nucleoplasm	HPA
JAG1	Golgi apparatus	HPA
SVIL	Plasma membrane	HPA;GO
RPS24	Nucleoplasm	GO
NPTX2	Golgi apparatus	HPA
EIF5B	Cytosol	HPA;GO
CHD6	Nucleoplasm	HPA;GO
MYADM	Actin filaments	GO
UBA6	Cytosol	HPA;GO
CLASP2	Plasma membrane	GO
C12orf40	Cytosol	HPA
LGI4	Golgi apparatus	HPA
CCDC68	Cytosol	HPA
ZNF236	Cytosol	HPA
BCL2L10	Cytosol	GO
PRTFDC1	Golgi apparatus	HPA
STYK1	Nucleoplasm	HPA
NECAB1	Primary cilium	HPA
ZBED5	Golgi apparatus	HPA
NFYC	Nucleoplasm	HPA;GO
SPTBN4	Actin filaments	GO
SLC11A2	Golgi apparatus	GO
ARHGEF25	Cytosol	GO
CERCAM	Nucleoplasm	HPA
PLD1	Golgi apparatus	HPA
ITIH5	Golgi apparatus	HPA
MIXL1	Nucleoplasm	HPA
SPATS2	Cytosol	HPA
KRTAP19-7	Cytosol	GO
LRRC75B	Cytosol	HPA
ANKRD12	Nucleoplasm	HPA
TP53TG5	Nucleoplasm	HPA
RPP30	Nucleoli	HPA
IGSF23	Plasma membrane	HPA;GO
BCAR3	Plasma membrane	HPA
SHANK2	Nucleoplasm	HPA
TRMT1L	Nucleoplasm	HPA
CLTB	Cytosol	HPA;GO
GTSE1	Microtubules	GO
XYLT1	Plasma membrane	HPA
EVI5	Cytosol	GO
DNMT3L	Nucleoplasm	HPA
SLC30A5	Endoplasmic reticulum	GO
NOP58	Nucleoli	HPA;GO
ZDHHC1	Cytosol	HPA
CEACAM19	Mitochondria	HPA
CNTROB	Centrosome	HPA;GO
IFI35	Nucleoli	HPA
GNPDA2	Golgi apparatus	HPA
NUDT4	Cytosol	HPA;GO
TAMM41	Cytosol	HPA
AP1S1	Cytosol	GO
RPL8	Nucleoplasm	GO
UQCC1	Plasma membrane	HPA
FLCN	Cytosol	HPA;GO
CASP6	Nucleoplasm	HPA;GO
PLA2G4C	Endoplasmic reticulum	GO
LRRC75A	Nucleoli	HPA
ANKRD16	Endoplasmic reticulum	HPA
DEF8	Nucleoplasm	HPA
ALOX5	Cytosol	GO
ZFY	Nucleoli	HPA
RAB32	Endoplasmic reticulum	GO
CREB1	Centrosome	HPA
IFT74	Cytosol	HPA
BLTP1	Centrosome	HPA
MBNL1	Nucleoplasm	HPA
FAM135A	Nucleoplasm	HPA
TMTC3	Endoplasmic reticulum	GO
LENG1	Plasma membrane	HPA
CIMIP2C	Primary cilium	GO
ZNF7	Mitochondria	HPA
