protein	location	source(s)
MACF1	Golgi apparatus	GO
FBXO27	Nucleoplasm	HPA
SREBF2	Endoplasmic reticulum	HPA;GO
LGR5	Nucleoplasm	HPA
SLC26A8	Plasma membrane	GO
PPP1R15A	Cytosol	GO
GRAMD2B	Golgi apparatus	HPA
NDUFS4	Mitochondria	HPA;GO
PLPP4	Nucleoli	HPA
NUP153	Nucleoplasm	GO
DCBLD2	Plasma membrane	HPA;GO
RAB3A	Centrosome	HPA
PECR	Cytosol	GO
ZNF821	Nucleoplasm	HPA
RAI2	Plasma membrane	HPA
ZNF14	Cytosol	HPA
KCNV2	Plasma membrane	GO
KRAS	Cytosol	HPA;GO
STX1B	Plasma membrane	GO
GLUD2	Cytosol	GO
TRPC3	Plasma membrane	GO
DCTN1	Microtubules	HPA;GO
NAA10	Cytosol	HPA
FLII	Centrosome	HPA
MS4A3	Plasma membrane	GO
SSTR1	Plasma membrane	GO
KLHL20	Golgi apparatus	HPA;GO
NUMA1	Nucleoplasm	HPA;GO
PLK2	Cytosol	HPA;GO
NDUFA4	Mitochondria	HPA;GO
FBXO11	Nucleoplasm	HPA
UBXN2A	Centrosome	HPA
BRMS1	Centrosome	HPA
BICDL2	Actin filaments	HPA
PDZRN4	Mitochondria	HPA
TMEM170A	Endoplasmic reticulum	GO
PCDHGA6	Cytosol	HPA
ZNF217	Nucleoplasm	HPA;GO
IL10RA	Plasma membrane	HPA;GO
SC5D	Nucleoplasm	HPA
H2AC15	Nucleoplasm	HPA
ELAVL4	Nucleoplasm	HPA
PRCD	Primary cilium	GO
TMEM52	Plasma membrane	HPA
CREBBP	Nucleoplasm	HPA;GO
LZTR1	Centrosome	HPA
ETF1	Cytosol	GO
SPATA18	Cytosol	HPA
TSR2	Nucleoplasm	HPA
UBFD1	Nucleoplasm	HPA
RGS8	Plasma membrane	HPA;GO
TNFSF4	Plasma membrane	GO
USP47	Intermediate filaments	HPA
FAM111A	Nucleoplasm	HPA;GO
AKT2	Cytosol	HPA;GO
MTHFD1	Cytosol	HPA;GO
HAUS6	Centrosome	HPA;GO
RPUSD1	Nucleoplasm	HPA
CDV3	Nucleoli	HPA
AGK	Mitochondria	HPA;GO
LRRC55	Plasma membrane	GO
KCNIP1	Plasma membrane	GO
NTN4	Plasma membrane	GO
HSF1	Centrosome	GO
LANCL1	Plasma membrane	GO
ZBTB33	Cytosol	HPA
ADSL	Cytosol	HPA;GO
MRGPRF	Primary cilium	HPA
SCN5A	Nucleoli	HPA
OR13C5	Plasma membrane	HPA
SLC15A1	Plasma membrane	GO
EPHX3	Nucleoplasm	HPA
TMEM39A	Nucleoplasm	HPA
LGALS3	Mitochondria	GO
DBI	Endoplasmic reticulum	GO
TM4SF20	Endoplasmic reticulum	GO
LINGO2	Cytosol	HPA
INTS13	Nucleoplasm	HPA;GO
FXR2	Cytosol	HPA;GO
OXCT1	Mitochondria	HPA;GO
CYB5A	Cytosol	HPA;GO
ACAA2	Mitochondria	HPA;GO
COL23A1	Plasma membrane	GO
ABHD10	Cytosol	GO
GNG8	Plasma membrane	GO
ZC3H11B	Nucleoplasm	HPA
SNTB1	Actin filaments	GO
NR3C1	Cytosol	HPA;GO
ENO1	Cytosol	HPA;GO
GPR148	Plasma membrane	HPA
NPIPA1	Nucleoplasm	HPA
PISD	Golgi apparatus	HPA
POR	Cytosol	HPA
SAMHD1	Plasma membrane	GO
UVRAG	Centrosome	GO
CD93	Plasma membrane	HPA;GO
MAPT	Microtubules	GO
ITPRIPL2	Centrosome	HPA
RNF186	Endoplasmic reticulum	GO
NDUFAF4	Mitochondria	HPA;GO
IGSF11	Nucleoplasm	HPA
INSM2	Nucleoplasm	HPA
HABP4	Nucleoplasm	GO
ERC1	Plasma membrane	HPA;GO
TCF15	Nucleoplasm	HPA
NGEF	Cytosol	HPA;GO
PSMC3IP	Nucleoplasm	HPA
PYHIN1	Nucleoplasm	HPA
SIX1	Nucleoli	HPA
RASSF9	Cytosol	GO
NEDD4	Plasma membrane	GO
COPS4	Cytosol	GO
PSMB10	Nucleoplasm	GO
SRP68	Cytosol	HPA;GO
C1orf226	Nucleoplasm	HPA
ATCAY	Mitochondria	GO
IDI2	Cytosol	GO
LAMP3	Plasma membrane	GO
PLG	Plasma membrane	GO
PLD3	Endoplasmic reticulum	HPA;GO
TSPAN33	Microtubules	HPA
GRIK5	Plasma membrane	HPA;GO
CXCR3	Plasma membrane	GO
DUSP18	Nucleoplasm	HPA
PLPP3	Endoplasmic reticulum	GO
COL16A1	Endoplasmic reticulum	GO
DNPEP	Cytosol	HPA
DNAJA3	Cytosol	GO
CDS2	Endoplasmic reticulum	HPA;GO
YOD1	Cytosol	HPA;GO
H2BC13	Cytosol	HPA
MRPL23	Mitochondria	HPA;GO
NUDT18	Nucleoplasm	HPA
VAV1	Cytosol	HPA;GO
SPRR1B	Plasma membrane	GO
DNA2	Nucleoplasm	GO
EML6	Mitochondria	HPA
PNPLA3	Nucleoli	HPA
CYSTM1	Plasma membrane	GO
C1QBP	Plasma membrane	HPA;GO
GLO1	Cytosol	HPA;GO
AGRP	Golgi apparatus	GO
TRPC6	Plasma membrane	GO
CFAP97D1	Plasma membrane	HPA
BTBD18	Nucleoplasm	HPA
PPP1R14A	Nucleoplasm	HPA
LSM5	Nucleoplasm	GO
CCDC38	Centrosome	GO
CISD1	Mitochondria	HPA;GO
NAXD	Mitochondria	GO
SRD5A2	Endoplasmic reticulum	GO
ANKRD31	Centrosome	HPA
POU5F1	Cytosol	HPA;GO
EXOC8	Plasma membrane	GO
PIGZ	Endoplasmic reticulum	GO
SPEM1	Golgi apparatus	HPA
TGDS	Nucleoli	HPA
PAX8	Nucleoplasm	HPA
GALT	Cytosol	HPA;GO
TMCO1	Cytosol	GO
CASP14	Cytosol	HPA;GO
ADRM1	Cytosol	HPA;GO
RFX7	Nucleoplasm	HPA
HTR1A	Plasma membrane	GO
COL9A3	Intermediate filaments	HPA
NUP210L	Nucleoplasm	HPA
MAPK3	Endoplasmic reticulum	GO
RDH13	Cytosol	HPA
ARMCX2	Nucleoplasm	HPA
MPRIP	Plasma membrane	GO
RBM4B	Cytosol	HPA
ZNF469	Plasma membrane	HPA
GET4	Nucleoli	HPA
CD84	Plasma membrane	HPA;GO
MICALL1	Centrosome	HPA
PAQR3	Golgi apparatus	GO
SERPINB12	Plasma membrane	GO
GRIP2	Plasma membrane	GO
LY96	Plasma membrane	GO
WDR49	Cytosol	HPA
WDR88	Nucleoplasm	HPA
DVL3	Nucleoplasm	GO
PPP2R2B	Cytosol	HPA
CPNE5	Cytosol	HPA
BORCS8-MEF2B	Cytosol	HPA
TRIM16	Cytosol	HPA
CTBP1	Nucleoplasm	HPA;GO
SLC5A7	Intermediate filaments	HPA
PYROXD2	Mitochondria	HPA;GO
TOR1AIP1	Nuclear membrane	HPA
KANSL2	Cytosol	HPA
VAMP4	Golgi apparatus	HPA;GO
CENPU	Nucleoplasm	HPA;GO
CHPF	Centrosome	HPA
DPPA2	Nucleoplasm	HPA
MEPE	Endoplasmic reticulum	GO
PRKG1	Plasma membrane	GO
HAPLN3	Cytosol	HPA
RAX2	Cytosol	HPA
IMMP1L	Mitochondria	HPA
TTN	Actin filaments	GO
DCC	Plasma membrane	GO
CASP2	Nucleoplasm	HPA
SLC16A14	Endoplasmic reticulum	HPA
SMAD4	Primary cilium	HPA
KCNQ1	Plasma membrane	HPA;GO
DDX47	Nucleoplasm	GO
USP10	Cytosol	HPA;GO
FOXH1	Nucleoplasm	GO
UGT1A10	Endoplasmic reticulum	GO
STK38	Nucleoplasm	GO
PLXNB1	Plasma membrane	GO
IRX2	Nucleoli	HPA
PNRC2	Cytosol	GO
NOS1AP	Nucleoplasm	HPA
CCDC71L	Actin filaments	HPA
CDIP1	Nucleoplasm	HPA
LCA5L	Cytosol	HPA
C20orf173	Plasma membrane	HPA
RUNX2	Nucleoplasm	HPA;GO
FRMD6	Mitochondria	HPA
LY6G5C	Plasma membrane	GO
UBA3	Cytosol	HPA;GO
ZNF331	Nucleoplasm	HPA
SNF8	Plasma membrane	GO
KLHL4	Microtubules	HPA
AKAP12	Cytosol	HPA
ZNRF1	Cytosol	GO
FKTN	Endoplasmic reticulum	GO
SDC3	Plasma membrane	GO
KATNIP	Primary cilium	HPA
NCLN	Nucleoplasm	HPA
POLD3	Nucleoplasm	HPA;GO
UNG	Nucleoplasm	HPA;GO
CCSAP	Primary cilium	GO
ANO7	Plasma membrane	GO
ADAM28	Mitochondria	HPA
LRAT	Golgi apparatus	HPA
NDUFAF5	Mitochondria	GO
KIF26B	Plasma membrane	HPA
LMOD2	Actin filaments	GO
ST6GALNAC4	Nucleoplasm	HPA
MGAM	Plasma membrane	GO
DLG1	Endoplasmic reticulum	GO
EIF4E3	Nucleoli	HPA
SLC12A1	Plasma membrane	GO
TMCO5A	Plasma membrane	HPA
PUS1	Nucleoplasm	HPA
CRB1	Plasma membrane	GO
RBIS	Cytosol	HPA
RPLP0	Actin filaments	GO
SALL1	Cytosol	HPA
CMTR2	Plasma membrane	HPA
FMNL1	Cytosol	HPA;GO
ARMT1	Nucleoplasm	HPA
SNAPC3	Nucleoplasm	HPA;GO
NRL	Nucleoplasm	HPA
CXCR1	Plasma membrane	GO
HYKK	Nucleoplasm	HPA
KLHL21	Microtubules	GO
ZNF713	Nucleoli	HPA
DGKZ	Plasma membrane	GO
TOM1	Plasma membrane	GO
TIGAR	Cytosol	HPA;GO
SELP	Plasma membrane	GO
ALOX12	Plasma membrane	GO
MYL1	Cytosol	GO
AMDHD1	Cytosol	HPA;GO
SLC9A6	Endoplasmic reticulum	GO
CRADD	Nucleoplasm	HPA
ANKRD34B	Cytosol	HPA
DCUN1D3	Cytosol	HPA
PPP1R13L	Nucleoplasm	GO
CEP78	Microtubules	GO
H2AB1	Nucleoplasm	GO
GALK1	Cytosol	HPA;GO
PIM1	Plasma membrane	GO
MTOR	Plasma membrane	GO
PSMB5	Cytosol	GO
ACO1	Cytosol	HPA;GO
ADGRF4	Mitochondria	HPA
TTLL12	Cytosol	HPA
OCA2	Endoplasmic reticulum	GO
MRPL24	Mitochondria	GO
GPR20	Plasma membrane	HPA;GO
CSRNP1	Nucleoplasm	HPA
DNAI1	Microtubules	GO
CRCP	Nucleoplasm	HPA;GO
PTPN4	Plasma membrane	HPA;GO
CLTA	Plasma membrane	GO
ANKRD31	Nucleoli	HPA
FAM107A	Plasma membrane	GO
ATG7	Cytosol	HPA;GO
KLF15	Nucleoplasm	HPA
DAB1	Cytosol	GO
EI24	Golgi apparatus	HPA
SEC16A	Golgi apparatus	HPA
RNF181	Cytosol	HPA
THEM5	Mitochondria	GO
SERINC2	Nucleoplasm	HPA
DLK2	Nucleoplasm	HPA
SAG	Cytosol	GO
PRICKLE3	Mitochondria	GO
C9orf152	Nucleoplasm	HPA
FGA	Plasma membrane	GO
ARID5A	Nucleoplasm	HPA
XKR4	Golgi apparatus	HPA
THEM4	Mitochondria	GO
PPM1L	Cytosol	HPA
ATP6V1G2	Cytosol	GO
DCDC1	Microtubules	GO
MAPK1IP1L	Cytosol	HPA
NRSN2	Nucleoplasm	HPA
HSPA6	Microtubules	GO
RNF8	Nucleoplasm	HPA;GO
TTC8	Cytosol	GO
MKRN1	Cytosol	HPA;GO
EVI2A	Cytosol	HPA
SNX5	Cytosol	HPA
TUBB2B	Primary cilium	HPA
GLYCTK	Cytosol	HPA;GO
TSNAX	Golgi apparatus	HPA
STOML3	Plasma membrane	HPA;GO
LDHAL6B	Mitochondria	GO
MGAT4A	Endoplasmic reticulum	GO
GPER1	Nucleoli	HPA
ZNF408	Centrosome	HPA
MRPL32	Mitochondria	GO
ANKRD37	Cytosol	HPA
SP6	Centrosome	HPA
CDKN2AIP	Nucleoli	GO
LYPD5	Plasma membrane	GO
FAM222A	Plasma membrane	HPA
SDR16C5	Endoplasmic reticulum	GO
COL6A3	Endoplasmic reticulum	HPA;GO
GLRA1	Plasma membrane	HPA;GO
HLA-DPB1	Endoplasmic reticulum	GO
RPS14	Endoplasmic reticulum	HPA
TENT5A	Cytosol	HPA
PRKCA	Nucleoplasm	GO
ALG14	Endoplasmic reticulum	GO
AMIGO2	Plasma membrane	HPA
COL13A1	Plasma membrane	GO
ACSL4	Endoplasmic reticulum	GO
SLITRK1	Plasma membrane	GO
NLRP2	Nucleoplasm	GO
SATB2	Nucleoplasm	HPA;GO
RNF212B	Nucleoplasm	HPA
HRH3	Plasma membrane	GO
PRKAA1	Cytosol	HPA;GO
RNF111	Nucleoplasm	HPA;GO
COG6	Golgi apparatus	HPA;GO
LRRC73	Cytosol	HPA
SCAMP4	Plasma membrane	HPA
FOXD4L3	Nucleoplasm	HPA
OSBPL6	Cytosol	GO
UNC13A	Plasma membrane	GO
GALNT17	Golgi apparatus	HPA
RPRD2	Nucleoplasm	HPA;GO
MEMO1	Cytosol	GO
NUP35	Cytosol	GO
RRAGC	Nucleoplasm	HPA
MRPS33	Mitochondria	GO
RPL21	Cytosol	HPA;GO
ACTB	Cytosol	GO
ANO8	Endoplasmic reticulum	GO
MAPKAPK3	Nucleoplasm	HPA;GO
SMIM24	Nucleoplasm	HPA
GRIP1	Plasma membrane	GO
EMC7	Endoplasmic reticulum	GO
KIF5B	Cytosol	HPA;GO
NTN1	Cytosol	HPA
FAM149B1	Primary cilium	HPA
POLE4	Nucleoplasm	HPA;GO
MACF1	Microtubules	GO
ODAD4	Primary cilium	GO
MFSD10	Nucleoplasm	HPA
GOLGA5	Golgi apparatus	HPA;GO
C12orf43	Nucleoli	HPA
IL1RAP	Cytosol	HPA
KRT16	Intermediate filaments	HPA
RHAG	Plasma membrane	GO
NME1	Cytosol	HPA;GO
GRAMD2B	Microtubules	GO
CAND1	Nucleoplasm	HPA;GO
PRPF19	Nucleoplasm	HPA;GO
TRMT13	Plasma membrane	HPA
DHCR7	Endoplasmic reticulum	HPA;GO
LAPTM5	Cytosol	HPA
ZNF549	Cytosol	HPA
ARL2BP	Primary cilium	HPA
ING2	Nucleoplasm	HPA;GO
BRI3BP	Mitochondria	HPA;GO
CCDC69	Plasma membrane	HPA
C19orf18	Golgi apparatus	HPA
GIMAP7	Golgi apparatus	HPA
ZKSCAN2	Golgi apparatus	HPA
ARID3B	Nucleoplasm	HPA
BBS9	Centrosome	GO
ZMYM2	Endoplasmic reticulum	HPA
WSB2	Cytosol	GO
HASPIN	Centrosome	GO
KDSR	Endoplasmic reticulum	GO
MAGEA9B	Golgi apparatus	HPA
SYCE1	Cytosol	HPA
TMC5	Plasma membrane	HPA
PPID	Nucleoplasm	HPA;GO
AHR	Cytosol	HPA;GO
OR51B5	Plasma membrane	GO
ANKRD36	Cytosol	HPA
SNAP23	Plasma membrane	HPA;GO
GTPBP1	Nucleoplasm	HPA
ANKS6	Cytosol	HPA
ALYREF	Cytosol	GO
ZKSCAN1	Nucleoplasm	HPA
HPDL	Mitochondria	HPA;GO
PIN1	Nucleoplasm	HPA;GO
PHLPP2	Microtubules	HPA
PHYH	Primary cilium	GO
SMARCD1	Nucleoplasm	HPA;GO
NSF	Plasma membrane	GO
LEO1	Nucleoplasm	HPA;GO
MED6	Nucleoplasm	HPA;GO
DGKB	Plasma membrane	HPA;GO
NDE1	Cytosol	GO
NPAS4	Nucleoplasm	HPA;GO
PCYOX1L	Mitochondria	HPA
SDHA	Nucleoli	HPA
RTN3	Golgi apparatus	GO
SLC2A14	Plasma membrane	HPA;GO
DDX28	Mitochondria	HPA;GO
ATP6V0D2	Plasma membrane	GO
DAXX	Nucleoplasm	HPA;GO
NUP214	Nucleoplasm	GO
STAB2	Cytosol	HPA
USP28	Nucleoplasm	HPA;GO
PAK5	Nuclear membrane	HPA
TMED7	Endoplasmic reticulum	GO
BTRC	Cytosol	HPA;GO
FOXA3	Nucleoplasm	HPA
ZNF839	Plasma membrane	HPA
POLR2H	Nucleoli	GO
BRAP	Cytosol	HPA;GO
FAM50B	Nucleoplasm	HPA
TBXA2R	Plasma membrane	HPA;GO
ITGA7	Plasma membrane	HPA;GO
RBMX2	Nuclear membrane	HPA
SIGLEC6	Plasma membrane	HPA
ARHGEF10	Centrosome	GO
RPS6KA6	Nucleoplasm	HPA
OSBPL3	Cytosol	HPA;GO
SLC41A2	Plasma membrane	GO
ATP10D	Endoplasmic reticulum	GO
TRIM38	Plasma membrane	HPA
RPS19	Actin filaments	GO
TAF1A	Nucleoli	GO
SYK	Cytosol	HPA;GO
MAN1C1	Golgi apparatus	GO
NR1H3	Nucleoplasm	HPA;GO
CDC42EP4	Actin filaments	HPA
SPAG7	Nucleoplasm	HPA
STMN2	Endoplasmic reticulum	HPA
RPS23	Cytosol	HPA;GO
CYLD	Plasma membrane	GO
KIF3B	Microtubules	GO
SLC25A22	Mitochondria	GO
SH3TC1	Cytosol	HPA
SH3BP1	Cytosol	HPA;GO
KMT5C	Nucleoplasm	HPA;GO
CARD11	Plasma membrane	GO
CCDC184	Mitochondria	HPA
CFAP210	Primary cilium	GO
AMOTL2	Actin filaments	GO
RMND1	Mitochondria	HPA;GO
MEN1	Actin filaments	GO
MRPS18A	Mitochondria	GO
PRKCE	Intermediate filaments	HPA
CYGB	Cytosol	HPA;GO
OMD	Endoplasmic reticulum	HPA
SEMA4D	Plasma membrane	HPA;GO
PSMA3	Nucleoplasm	GO
ZSCAN1	Nucleoli	HPA
GOLGB1	Golgi apparatus	HPA;GO
MDM2	Plasma membrane	GO
MBOAT7	Endoplasmic reticulum	GO
ZG16	Golgi apparatus	GO
XPNPEP2	Plasma membrane	HPA;GO
ENSG00000288000	Microtubules	HPA
LINC02203	Centrosome	HPA
VASN	Nucleoplasm	HPA
ACSL3	Nucleoli	HPA
MMP14	Plasma membrane	GO
IFIT2	Endoplasmic reticulum	GO
ABHD12	Endoplasmic reticulum	GO
ADGRG2	Plasma membrane	HPA
ARHGAP24	Plasma membrane	HPA
NXT2	Cytosol	HPA
CFAP410	Golgi apparatus	HPA
EXOC1	Microtubules	HPA
TMEM230	Plasma membrane	GO
TXK	Nucleoplasm	HPA
MS4A7	Golgi apparatus	GO
ZNF497	Nucleoplasm	HPA
PARP16	Endoplasmic reticulum	GO
BRF2	Nucleoli	HPA
BANP	Nucleoplasm	HPA;GO
WT1	Cytosol	HPA
TFR2	Plasma membrane	GO
WBP2NL	Primary cilium	GO
ARR3	Golgi apparatus	HPA
CHST1	Mitochondria	HPA
ABCG2	Nucleoplasm	HPA
JPT2	Plasma membrane	HPA
ZNF627	Nucleoli	HPA
SERPIND1	Endoplasmic reticulum	GO
TMED3	Endoplasmic reticulum	GO
SMG1	Cytosol	GO
ENO2	Plasma membrane	HPA
MICAL1	Actin filaments	GO
SLC35G1	Plasma membrane	GO
LCP2	Plasma membrane	GO
SRP14	Nucleoplasm	HPA
H2AC16	Nucleoplasm	HPA
MAPK12	Cytosol	HPA;GO
C12orf54	Intermediate filaments	HPA
PDSS1	Cytosol	HPA
PSMB9	Cytosol	HPA;GO
INTU	Primary cilium	HPA;GO
DAPK1	Actin filaments	GO
ITGB6	Actin filaments	GO
SPATA13	Nucleoplasm	HPA
PRKAG2	Nucleoplasm	HPA;GO
FES	Microtubules	GO
PSMD7	Nucleoplasm	HPA;GO
CTPS1	Cytosol	HPA;GO
CAVIN1	Nucleoplasm	GO
OPRK1	Plasma membrane	HPA;GO
DCTD	Nucleoplasm	HPA
SERPINB6	Plasma membrane	GO
GPX7	Endoplasmic reticulum	GO
TSPYL2	Nucleoli	GO
SPRY3	Cytosol	HPA
SSTR2	Cytosol	HPA
YWHAZ	Nucleoplasm	GO
PRKD2	Nucleoplasm	HPA
SCTR	Plasma membrane	GO
GTPBP3	Mitochondria	HPA
GAS6	Centrosome	HPA
STRA8	Cytosol	HPA
SUCLG2	Mitochondria	HPA;GO
CEP97	Centrosome	HPA;GO
ZNF445	Mitochondria	HPA
TNKS1BP1	Nucleoplasm	GO
ENSA	Cytosol	HPA
ZFR	Nucleoplasm	HPA
PDCL2	Microtubules	HPA
HMGB1	Nucleoplasm	HPA;GO
HLA-C	Endoplasmic reticulum	GO
TLR5	Plasma membrane	GO
OPN5	Plasma membrane	GO
ITPR2	Endoplasmic reticulum	HPA;GO
SPATA1	Cytosol	HPA
TFRC	Plasma membrane	GO
TMEM141	Plasma membrane	HPA
ZNF324B	Cytosol	HPA
SPTA1	Actin filaments	GO
MAPK15	Plasma membrane	HPA;GO
TMX2	Nucleoplasm	HPA
EXOC4	Cytosol	GO
DGKA	Cytosol	GO
LMBRD2	Nucleoplasm	HPA
SGMS2	Golgi apparatus	HPA;GO
TP53BP2	Nucleoplasm	GO
SH3RF2	Nucleoplasm	HPA
HSPA5	Mitochondria	GO
EPS15L1	Plasma membrane	GO
PABPC4	Cytosol	HPA
MAF	Nucleoplasm	HPA
PANX1	Plasma membrane	HPA;GO
PDE2A	Cytosol	HPA;GO
FBXO5	Cytosol	GO
APOC3	Nucleoplasm	HPA
ZNF584	Nucleoplasm	HPA
PTPRR	Plasma membrane	HPA
RPL19	Cytosol	HPA;GO
RNF39	Centrosome	HPA
INTS14	Nuclear membrane	HPA
WDSUB1	Cytosol	HPA
CPTP	Cytosol	HPA;GO
DDX59	Actin filaments	HPA
FUT9	Nucleoplasm	HPA
SUCLG1	Cytosol	HPA
FLNC	Cytosol	HPA;GO
ABCF2	Cytosol	HPA
POU2F3	Plasma membrane	HPA
TFEB	Cytosol	HPA;GO
TRAF2	Nucleoplasm	GO
OGFOD3	Nucleoplasm	HPA
RALYL	Nucleoplasm	HPA
PALM3	Plasma membrane	HPA
ARRB2	Plasma membrane	HPA;GO
ARMCX5	Nucleoplasm	HPA
EYA4	Nucleoplasm	HPA
ALDH1L1	Cytosol	HPA;GO
ENSG00000250264	Endoplasmic reticulum	HPA
TMEM14A	Nucleoplasm	HPA
SLCO2A1	Plasma membrane	GO
USP48	Nucleoplasm	HPA;GO
CCNI2	Cytosol	HPA
CMSS1	Nucleoplasm	HPA
FYN	Cytosol	HPA;GO
NRGN	Cytosol	GO
USP18	Cytosol	HPA;GO
CD300LG	Plasma membrane	GO
CCDC22	Endoplasmic reticulum	HPA
SLC35D3	Plasma membrane	GO
ERBIN	Plasma membrane	HPA;GO
BBLN	Plasma membrane	GO
MYL10	Cytosol	GO
ENSG00000269825	Nucleoli	HPA
EXOSC9	Cytosol	GO
AIP	Nucleoplasm	GO
MRPL12	Mitochondria	HPA;GO
MFN1	Mitochondria	HPA;GO
ZNF70	Cytosol	HPA
COA4	Nucleoplasm	HPA
OLFM4	Plasma membrane	HPA;GO
BTF3L4	Cytosol	HPA
ESAM	Cytosol	HPA
ADAR	Nucleoplasm	HPA;GO
FAM204A	Nucleoplasm	HPA
NOL12	Nucleoplasm	HPA
ZNF619	Nucleoplasm	HPA
BLM	Nucleoplasm	HPA;GO
MAPK3	Primary cilium	HPA
AFG2B	Microtubules	GO
PLCB2	Primary cilium	HPA
KLHL8	Nucleoplasm	HPA
C11orf42	Nuclear membrane	HPA
CORO1A	Plasma membrane	GO
VPS33A	Nucleoplasm	HPA
CD69	Plasma membrane	GO
CRTC3	Cytosol	HPA
IPO5	Nuclear membrane	HPA;GO
ENTPD7	Nucleoplasm	HPA
CYP3A7	Cytosol	HPA
AIFM3	Endoplasmic reticulum	GO
SMN1	Nucleoplasm	HPA;GO
ZNF573	Intermediate filaments	HPA
SNCG	Cytosol	HPA
ARHGAP10	Nuclear membrane	HPA
ITGAL	Plasma membrane	GO
SLC45A3	Nucleoplasm	HPA
SORBS3	Actin filaments	GO
RAMP2	Plasma membrane	GO
TP53TG3E	Centrosome	HPA
CES2	Cytosol	HPA
PSMD5	Nucleoplasm	HPA;GO
CLEC4E	Plasma membrane	GO
CUL1	Nucleoplasm	HPA;GO
RBX1	Cytosol	GO
FLCN	Centrosome	GO
NRBF2	Nucleoplasm	HPA;GO
FAM228B	Golgi apparatus	HPA
DNAJC2	Cytosol	HPA;GO
CCNT2	Plasma membrane	HPA
SPTLC1	Endoplasmic reticulum	HPA;GO
KIF20A	Nucleoplasm	GO
IFT74	Centrosome	HPA
CCNL1	Nucleoplasm	HPA
LRRFIP2	Plasma membrane	HPA
BRPF1	Cytosol	HPA
FBLIM1	Actin filaments	HPA;GO
GNAI1	Primary cilium	HPA
RNF138	Mitochondria	HPA
TCN2	Cytosol	HPA
MAEA	Microtubules	GO
SULT1C2	Cytosol	GO
QTRT2	Nucleoli	HPA
DYRK3	Nucleoplasm	HPA;GO
LZTS1	Nucleoli	HPA
MYO15B	Cytosol	HPA
SLC22A5	Plasma membrane	GO
FBLN1	Endoplasmic reticulum	HPA
SLC15A4	Plasma membrane	GO
LONP2	Cytosol	GO
ZNF622	Cytosol	HPA
SH2D1B	Cytosol	GO
CENPF	Primary cilium	GO
PARP8	Cytosol	HPA
CCDC18	Nucleoplasm	HPA
NCKAP1	Cytosol	HPA;GO
PHACTR4	Intermediate filaments	HPA
PICALM	Plasma membrane	GO
RDH14	Cytosol	HPA
PKP1	Plasma membrane	HPA;GO
DLG1	Primary cilium	HPA
PRKN	Nucleoplasm	HPA
SUPV3L1	Mitochondria	HPA;GO
TTC19	Mitochondria	HPA;GO
TMEM25	Golgi apparatus	HPA
RPL34	Cytosol	HPA;GO
GJC1	Endoplasmic reticulum	GO
HS3ST3A1	Golgi apparatus	GO
NKD2	Plasma membrane	GO
HRAS	Endoplasmic reticulum	GO
EIF5AL1	Plasma membrane	HPA
SLC35B1	Endoplasmic reticulum	HPA;GO
TMEM63A	Plasma membrane	GO
LMNB1	Nucleoplasm	GO
TIMMDC1	Mitochondria	HPA;GO
RRAS	Plasma membrane	GO
PLK2	Centrosome	GO
HBP1	Nucleoplasm	HPA
ADGRG6	Endoplasmic reticulum	GO
MYL3	Mitochondria	HPA
MXD1	Nucleoplasm	GO
ACTA2	Cytosol	GO
OR52B6	Plasma membrane	GO
ASXL2	Nucleoplasm	HPA;GO
HSP90AA1	Plasma membrane	GO
ZNF337	Plasma membrane	HPA
CLIP2	Golgi apparatus	HPA
TM4SF18	Plasma membrane	HPA
SPIRE1	Cytosol	HPA
WASHC5	Centrosome	HPA
IRX3	Cytosol	HPA
GNPTG	Endoplasmic reticulum	HPA
DHX9	Nucleoplasm	HPA;GO
SIPA1	Golgi apparatus	HPA
KRTAP3-2	Cytosol	GO
SEPTIN8	Cytosol	HPA
SLC30A8	Golgi apparatus	GO
NCOA1	Plasma membrane	HPA
GFOD2	Cytosol	HPA
ZNF174	Nucleoli	HPA
MIIP	Cytosol	HPA
GPR37L1	Plasma membrane	HPA;GO
EPHA3	Actin filaments	HPA
CPEB4	Golgi apparatus	HPA
FAM174C	Nucleoplasm	HPA
ZNF548	Nucleoplasm	HPA
FOSB	Nucleoplasm	HPA;GO
TGIF2-RAB5IF	Mitochondria	HPA
SLIT3	Plasma membrane	HPA
SWSAP1	Nucleoplasm	HPA
EIF2B2	Plasma membrane	HPA
ZSWIM8	Plasma membrane	HPA
HAS2	Endoplasmic reticulum	GO
CIAO2B	Microtubules	GO
SLC22A23	Cytosol	HPA
CDK4	Nucleoplasm	HPA;GO
UTP15	Nucleoli	HPA;GO
PSMD12	Microtubules	HPA
SLN	Endoplasmic reticulum	GO
LRRN4CL	Nucleoplasm	HPA
DNAJB7	Golgi apparatus	HPA
SASS6	Microtubules	GO
GTF2E1	Nucleoplasm	HPA;GO
AK3	Mitochondria	HPA;GO
EEF1A2	Cytosol	HPA
HDAC3	Golgi apparatus	HPA
COQ3	Mitochondria	HPA;GO
LRRC61	Nucleoplasm	HPA
NT5E	Plasma membrane	HPA;GO
PKP4	Plasma membrane	HPA;GO
PSTPIP2	Cytosol	HPA
SMARCB1	Nucleoplasm	HPA;GO
FBXL8	Cytosol	GO
BBX	Cytosol	HPA
AKAP7	Cytosol	GO
